BA00001	2.72379616434516	26
BA00014	1.42134735592622	6
BA00025	3.76642440708526	22
BA00015	3.37244184443372	20
BA00026	1.83997036908622	8
BA00012	1.88042106526371	17
BA00010	3.7050207117823	29
BA00005	4.87554401485818	128
BA00029	2.91720493536716	13
BA00040	2.39805957676063	10
BA00018	3.26725607442293	12
BA00023	3.2133199542908	20
BA00020	2.79305976896886	33
BA00021	3.06959015361027	17
BA00034	2.61166729499077	10
BA00009	2.21314639950117	15
BA00003	4.55775294617667	35
BA00007	3.99092930767552	15
BA00024	1.84447211260398	10
BA00017	3.13964984830587	17
BA00013	2.93804537005522	68
BA00033	4.49093964648599	20
BA00030	1.84560333409917	12
BA00031	5.92268257054316	23
BA00016	3.81494048875888	11
BA00028	3.10716618134636	27
BA00037	3.2889299789436	14
BA00019	2.66070049317826	12
BA00036	1.63428907825654	6
BA00011	2.33547914514068	12
