BA00003	1.95367862238076	15
BA00040	4.24979891816859	16
BA00010	4.18402227856978	36
BA00017	2.65699269423779	15
BA00034	2.28381889239241	6
BA00015	3.72388125721218	17
BA00024	5.2199362658312	22
BA00029	2.42482206330548	8
BA00037	2.2352782396342	10
BA00033	4.4115330944235	20
BA00012	2.15650987421001	15
BA00013	2.10927998715481	50
BA00019	4.74887010561734	21
BA00005	4.81419961194442	124
BA00009	2.83146640145165	19
BA00023	3.47215766265843	18
BA00026	4.70329568620823	17
BA00007	1.61400283510799	8
BA00030	2.44125466089004	16
BA00025	2.3772477835776	15
BA00018	5.17236468429161	22
BA00021	2.63718734327705	16
BA00028	2.31694926868899	23
BA00036	4.13836041028977	13
BA00011	2.16984048839533	12
BA00014	5.25468397728414	22
BA00031	3.11799348862688	13
BA00016	4.1221750027242	11
BA00020	2.52562299247885	29
BA00001	4.68350964798181	35
