ARGs abundance normalization aganist 16S	Subtype level results
	STAS	SWHAS104
beta-lactam__CTX-M-28	0	0
beta-lactam__CTX-M-29	0	0
beta-lactam__CTX-M-31	0	0
beta-lactam__CTX-M-32	0	0
beta-lactam__CTX-M-34	0	0
beta-lactam__CTX-M-35	0	0
beta-lactam__CTX-M-36	0	0
beta-lactam__CTX-M-37	0	0
beta-lactam__CTX-M-38	0	0
beta-lactam__CTX-M-4	0	0
beta-lactam__CTX-M-40	0	0
beta-lactam__CTX-M-41	0	0
beta-lactam__CTX-M-42	0	0
beta-lactam__CTX-M-43	0	0
beta-lactam__CTX-M-5	0	0
beta-lactam__CTX-M-51	0	0
beta-lactam__CTX-M-52	0	0
beta-lactam__CTX-M-53	0	0
beta-lactam__CTX-M-54	0	0
beta-lactam__CTX-M-55	0	0
beta-lactam__CTX-M-56	0	0
beta-lactam__CTX-M-58	0	0
beta-lactam__CTX-M-59	0	0
beta-lactam__CTX-M-60	0	0
beta-lactam__CTX-M-61	0	0
beta-lactam__CTX-M-62	0	0
beta-lactam__CTX-M-63	0	0
beta-lactam__CTX-M-65	0	0
beta-lactam__CTX-M-68	0	0
beta-lactam__CTX-M-69	0	0
beta-lactam__CTX-M-7	0	0
beta-lactam__CTX-M-74	0	0
beta-lactam__CTX-M-75	0	0
beta-lactam__CTX-M-78	0	0
beta-lactam__CTX-M-79	0	0
beta-lactam__CTX-M-82	0	0
beta-lactam__CTX-M-83	0	0
beta-lactam__CTX-M-84	0	0
beta-lactam__CTX-M-85	0	0
beta-lactam__CTX-M-86	0	0
beta-lactam__CTX-M-89	0	0
beta-lactam__CTX-M-90	0	0
beta-lactam__CTX-M-91	0	0
beta-lactam__CTX-M-92	0	0
beta-lactam__CTX-M-94	0	0
beta-lactam__CTX-M-99	0	0
beta-lactam__CfxA2	0	0
beta-lactam__CfxA3	0	0
beta-lactam__DHA-12	0	0
beta-lactam__DHA-5	0	0
beta-lactam__DHA-6	0	0
beta-lactam__DHA-7	0	0
beta-lactam__FEZ-1	0	0
beta-lactam__FONA-6	0	0
beta-lactam__FOX-1	0	0
beta-lactam__FOX-2	0	0
beta-lactam__FOX-3	0	0
beta-lactam__FOX-4	0	0
beta-lactam__FOX-5	0	0
beta-lactam__FOX-7	0	0
beta-lactam__FOX-8	0	0
beta-lactam__FOX-9	0	0
beta-lactam__GES-1	0	0
beta-lactam__GES-10	0	0
beta-lactam__GES-11	0	0
beta-lactam__GES-12	0	0
beta-lactam__GES-13	0	0
beta-lactam__GES-14	0	0
