ARGs abundance normalization aganist 16S	Subtype level results
	STAS	SWHAS104
beta-lactam__TEM-139	0	0
beta-lactam__TEM-141	0	0
beta-lactam__TEM-142	0	0
beta-lactam__TEM-143	0	0
beta-lactam__TEM-144	0	0
beta-lactam__TEM-145	0	0
beta-lactam__TEM-146	0	0
beta-lactam__TEM-147	0	0
beta-lactam__TEM-148	0	0
beta-lactam__TEM-149	0	0
beta-lactam__TEM-15	0	0
beta-lactam__TEM-151	0	0
beta-lactam__TEM-152	0	0
beta-lactam__TEM-153	0	0
beta-lactam__TEM-154	0	0
beta-lactam__TEM-155	0	0
beta-lactam__TEM-156	0	0
beta-lactam__TEM-157	0	0
beta-lactam__TEM-158	0	0
beta-lactam__TEM-159	0	0
beta-lactam__TEM-160	0	0
beta-lactam__TEM-162	0	0
beta-lactam__TEM-163	0	0
beta-lactam__TEM-166	0	0
beta-lactam__TEM-167	0	0
beta-lactam__TEM-168	0	0
beta-lactam__TEM-169	0	0
beta-lactam__TEM-17	0	0
beta-lactam__TEM-171	0	0
beta-lactam__TEM-176	0	0
beta-lactam__TEM-177	0	0
beta-lactam__TEM-178	0	0
beta-lactam__TEM-182	0	0
beta-lactam__TEM-183	0	0
beta-lactam__TEM-184	0	0
beta-lactam__TEM-185	0	0
beta-lactam__TEM-186	0	0
beta-lactam__TEM-187	0	0
beta-lactam__TEM-188	0	0
beta-lactam__TEM-189	0	0
beta-lactam__TEM-19	0	0
beta-lactam__TEM-190	0	0
beta-lactam__TEM-193	0	0
beta-lactam__TEM-194	0	0
beta-lactam__TEM-195	0	0
beta-lactam__TEM-197	0	0
beta-lactam__TEM-198	0	0
beta-lactam__TEM-2	0	0
beta-lactam__TEM-20	0	0
beta-lactam__TEM-201	0	0
beta-lactam__TEM-205	0	0
beta-lactam__TEM-208	0	0
beta-lactam__TEM-209	0	0
beta-lactam__TEM-21	0	0
beta-lactam__TEM-211	0	0
beta-lactam__TEM-213	0	0
beta-lactam__TEM-216	0	0
beta-lactam__TEM-22	0	0
beta-lactam__TEM-28	0	0
beta-lactam__TEM-29	0	0
beta-lactam__TEM-3	0	0
beta-lactam__TEM-30	0	0
beta-lactam__TEM-33	0	0
beta-lactam__TEM-34	0	0
beta-lactam__TEM-40	0	0
beta-lactam__TEM-43	0	0
beta-lactam__TEM-45	0	0
beta-lactam__TEM-47	0	0
beta-lactam__TEM-48	0	0
beta-lactam__TEM-49	0	0
beta-lactam__TEM-52	0	0
beta-lactam__TEM-53	0	0
beta-lactam__TEM-54	0	0
beta-lactam__TEM-55	0	0
beta-lactam__TEM-57	0	0
beta-lactam__TEM-6	0	0
beta-lactam__TEM-60	0	0
beta-lactam__TEM-63	0	0
beta-lactam__TEM-67	0	0
beta-lactam__TEM-68	0	0
beta-lactam__TEM-70	0	0
beta-lactam__TEM-72	0	0
beta-lactam__TEM-75	0	0
beta-lactam__TEM-76	0	0
beta-lactam__TEM-77	0	0
beta-lactam__TEM-78	0	0
beta-lactam__TEM-79	0	0
beta-lactam__TEM-80	0	0
beta-lactam__TEM-81	0	0
beta-lactam__TEM-82	0	0
beta-lactam__TEM-83	0	0
beta-lactam__TEM-84	0	0
beta-lactam__TEM-85	0	0
beta-lactam__TEM-86	0	0
beta-lactam__TEM-87	0	0
beta-lactam__TEM-88	0	0
beta-lactam__TEM-89	0	0
beta-lactam__TEM-90	0	0
beta-lactam__TEM-91	0	0
beta-lactam__TEM-92	0	0
beta-lactam__TEM-93	0	0
beta-lactam__TEM-94	0	0
beta-lactam__TEM-95	0	0
beta-lactam__TEM-96	0	0
beta-lactam__THIN-B	0	0
beta-lactam__TUS-1	0	0
beta-lactam__Toho-1	0	0
beta-lactam__VEB-1	0	0
beta-lactam__VEB-2	0	0
beta-lactam__VEB-3	0	0
beta-lactam__VEB-4	0	0
beta-lactam__VEB-5	0	0
beta-lactam__VEB-6	0	0
beta-lactam__VEB-7	0	0
beta-lactam__VEB-8	0	0
beta-lactam__VIM-1	0	0
beta-lactam__VIM-10	0	0
beta-lactam__VIM-12	0	0
beta-lactam__VIM-13	0	0
beta-lactam__VIM-14	0	0
beta-lactam__VIM-15	0	0
beta-lactam__VIM-16	0	0
beta-lactam__VIM-18	0	0
beta-lactam__VIM-2	0	0
beta-lactam__VIM-23	0	0
beta-lactam__VIM-24	0	0
beta-lactam__VIM-25	0	0
beta-lactam__VIM-26	0	0
beta-lactam__VIM-28	0	0
beta-lactam__VIM-30	0	0
beta-lactam__VIM-33	0	0
beta-lactam__VIM-34	0	0
beta-lactam__VIM-4	0	0
beta-lactam__VIM-7	0	0
beta-lactam__VIM-8	0	0
beta-lactam__VIM-9	0	0
beta-lactam__ampC	0	0.0113832926332926
beta-lactam__blaB	0	0
beta-lactam__blaI	0	0
beta-lactam__blaR1	0	0
beta-lactam__blaZ	0	0
beta-lactam__ccrA	0	0
beta-lactam__cephalosporinase DHA-2	0	0
beta-lactam__class A beta-lactamase	0	0.0468624238660197
beta-lactam__class B beta-lactamase	0	0
beta-lactam__class C beta-lactamase	0	0.0455331705331705
beta-lactam__class D beta-lactamase	0	0
beta-lactam__fmtC	0	0
beta-lactam__mecA	0	0
beta-lactam__mecC	0	0
beta-lactam__mecI	0	0
beta-lactam__mecR1	0	0
beta-lactam__metallo-beta-lactamase	0	0
beta-lactam__penA	0	0
bleomycin__bleO	0	0
bleomycin__bleomycin resistance protein	0	0
carbomycin__carA	0	0
chloramphenicol__catA	0	0
chloramphenicol__catB	0	0
chloramphenicol__catD	0	0
chloramphenicol__catP	0	0
chloramphenicol__catQ	0	0
chloramphenicol__catS	0	0
chloramphenicol__cat_chloramphenicol acetyltransferase	0	0
chloramphenicol__chloramphenicol and florfenicol exporter	0	0
chloramphenicol__chloramphenicol and florfenicol resistance gene	0	0
chloramphenicol__chloramphenicol exporter	0	0
chloramphenicol__cmlA	0	0
chloramphenicol__cmrA	0	0
chloramphenicol__floR	0	0
fosfomycin__fosA	0	0
fosfomycin__fosB	0	0
fosfomycin__fosC	0	0
fosfomycin__fosX	0	0
fosmidomycin__rosA	0	0
fosmidomycin__rosB	0	0
fusaric-acid__fusB	0	0
fusidic-acid__fusH	0	0
kasugamycin__kasugamycin resistance protein ksgA	0	0
macrolide-lincosamide-streptogramin__ereA	0	0
macrolide-lincosamide-streptogramin__ereB	0	0
macrolide-lincosamide-streptogramin__erm(31)	0	0
macrolide-lincosamide-streptogramin__erm(33)	0	0
macrolide-lincosamide-streptogramin__erm(34)	0	0
macrolide-lincosamide-streptogramin__erm(35)	0	0
macrolide-lincosamide-streptogramin__erm(36)	0	0
macrolide-lincosamide-streptogramin__erm(38)	0	0
macrolide-lincosamide-streptogramin__erm(39)	0	0
macrolide-lincosamide-streptogramin__erm(41)	0	0
macrolide-lincosamide-streptogramin__erm(TR)	0	0
macrolide-lincosamide-streptogramin__ermA	0	0
macrolide-lincosamide-streptogramin__ermB	0	0
macrolide-lincosamide-streptogramin__ermC	0	0
macrolide-lincosamide-streptogramin__ermE	0	0
macrolide-lincosamide-streptogramin__ermF	0	0
macrolide-lincosamide-streptogramin__ermG	0	0
macrolide-lincosamide-streptogramin__ermH	0	0
macrolide-lincosamide-streptogramin__ermN	0	0
macrolide-lincosamide-streptogramin__ermO	0	0
macrolide-lincosamide-streptogramin__ermS	0	0
macrolide-lincosamide-streptogramin__ermT	0	0
macrolide-lincosamide-streptogramin__ermX	0	0
macrolide-lincosamide-streptogramin__lmrA	0	0
macrolide-lincosamide-streptogramin__lmrB	0	0
macrolide-lincosamide-streptogramin__lmrP	0	0
macrolide-lincosamide-streptogramin__lnuA	0	0
macrolide-lincosamide-streptogramin__lnuB	0	0
macrolide-lincosamide-streptogramin__lsa	0	0
macrolide-lincosamide-streptogramin__macA	0	0
macrolide-lincosamide-streptogramin__macB	0.00615959122337397	0.0137021115030374
macrolide-lincosamide-streptogramin__mefA	0	0
macrolide-lincosamide-streptogramin__mgtA	0	0
macrolide-lincosamide-streptogramin__mphA	0	0
macrolide-lincosamide-streptogramin__mphB	0	0
macrolide-lincosamide-streptogramin__mphC	0	0
macrolide-lincosamide-streptogramin__msrA	0	0
macrolide-lincosamide-streptogramin__msrC	0	0
macrolide-lincosamide-streptogramin__oleB	0	0
macrolide-lincosamide-streptogramin__oleD	0	0
macrolide-lincosamide-streptogramin__srmB	0	0
macrolide-lincosamide-streptogramin__tlcC	0	0
macrolide-lincosamide-streptogramin__vatA	0	0
macrolide-lincosamide-streptogramin__vatB	0	0
macrolide-lincosamide-streptogramin__vatC	0	0
macrolide-lincosamide-streptogramin__vatD	0	0
macrolide-lincosamide-streptogramin__vatE	0	0
macrolide-lincosamide-streptogramin__vatG	0	0
macrolide-lincosamide-streptogramin__vgaA	0	0
macrolide-lincosamide-streptogramin__vgaB	0	0
macrolide-lincosamide-streptogramin__vgaD	0	0
macrolide-lincosamide-streptogramin__vgaE	0	0
macrolide-lincosamide-streptogramin__vgbA	0	0
macrolide-lincosamide-streptogramin__vgbB	0	0
multidrug__EmrB-QacA family major facilitator transporter	0	0
multidrug__TolC	0.00909206176024221	0
multidrug__abeS	0	0
multidrug__acrA	0	0
multidrug__acrB	0	0
multidrug__acrF	0	0
multidrug__adeA	0	0
multidrug__adeB	0	0
multidrug__adeC	0	0
multidrug__adeJ	0.00377260407631978	0
multidrug__adeK	0	0
multidrug__amrB	0	0
multidrug__bicyclomycin-multidrug_efflux_protein_bcr	0	0
multidrug__bpeE	0	0
multidrug__bpeF	0	0
multidrug__ceoA	0	0
multidrug__ceoB	0	0
multidrug__cmeA	0	0
multidrug__cmeB	0	0
multidrug__emrA	0	0.0113832926332926
multidrug__emrB	0	0
multidrug__emrD	0	0
multidrug__emrE	0	0
multidrug__emrK	0	0
multidrug__major_facilitator_superfamily_transporter	0	0
multidrug__marR	0	0
multidrug__mdfA	0	0
multidrug__mdtA	0	0
multidrug__mdtB	0	0.00425645649758785
multidrug__mdtC	0	0.00432276935441492
multidrug__mdtD	0	0
multidrug__mdtE	0	0
multidrug__mdtF	0	0
multidrug__mdtG	0	0
multidrug__mdtH	0	0
multidrug__mdtK	0	0
multidrug__mdtL	0	0
multidrug__mdtM	0	0
multidrug__mdtN	0	0
multidrug__mdtO	0	0
multidrug__mdtP	0	0
multidrug__mepA	0	0
multidrug__mexA	0	0
multidrug__mexB	0	0
multidrug__mexC	0	0
multidrug__mexD	0	0
multidrug__mexE	0	0
multidrug__mexF	0	0.00420405693843194
multidrug__mexG	0	0
multidrug__mexH	0	0
multidrug__mexI	0	0
multidrug__mexT	0	0
multidrug__mexW	0	0
multidrug__mexX	0	0
multidrug__mexY	0	0
multidrug__mtrE	0	0
multidrug__mtrR	0	0
multidrug__multidrug_ABC_transporter	0	0.00768076838578568
multidrug__multidrug_transporter	0.00380860220681902	0.00421203427607602
multidrug__norA	0	0
multidrug__omp36	0	0
multidrug__ompF	0	0
multidrug__ompR	0	0
multidrug__opcM	0	0
multidrug__opmD	0	0
multidrug__oprA	0	0
multidrug__oprC	0	0
multidrug__oprJ	0	0
multidrug__oprM	0	0
multidrug__oprN	0	0
multidrug__pmrA	0	0
multidrug__qacA	0	0
multidrug__qacB	0	0
multidrug__qacG	0	0
multidrug__sdeY	0	0
multidrug__smeB	0	0
multidrug__smeC	0	0
multidrug__smeD	0	0
multidrug__smeE	0	0
multidrug__smeF	0	0
multidrug__ykkC	0	0
multidrug__ykkD	0	0
polymyxin__arnA	0	0
puromycin__puromycin resistance protein	0	0
quinolone__mfpA	0	0
quinolone__norB	0	0
quinolone__qepA	0	0
quinolone__qnrA	0	0
quinolone__qnrB	0	0.0206487633813215
quinolone__qnrS	0.146225407322788	0
rifamycin__ADP-ribosylating transferase_arr	0.0293486405348995	0
rifamycin__rifampin monooxygenase	0	0
rifamycin__rifampin resistance protein	0	0
spectinomycin__spcN	0	0
sulfonamide__sul1	0	0.0485189522074768
sulfonamide__sul2	0.0147284690507245	0.0156872230635481
sulfonamide__sul3	0	0
tetracenomycin_C__tcmA	0	0
tetracycline__otrA	0	0
tetracycline__tcr3	0	0
tetracycline__tet31	0	0
tetracycline__tet32	0	0
tetracycline__tet34	0	0
tetracycline__tet35	0	0
tetracycline__tet36	0	0
tetracycline__tet37	0	0
tetracycline__tet39	0	0
tetracycline__tet40	0	0
tetracycline__tet41	0	0.0112963972696797
tetracycline__tet43	0	0
tetracycline__tet44	0	0
tetracycline__tetA	0	0
tetracycline__tetB	0	0
tetracycline__tetC	0	0
tetracycline__tetD	0	0
tetracycline__tetE	0	0
tetracycline__tetG	0	0.0227083587058012
tetracycline__tetH	0	0
tetracycline__tetJ	0	0
tetracycline__tetL	0	0
tetracycline__tetM	0	0
tetracycline__tetO	0	0
tetracycline__tetP	0	0
tetracycline__tetQ	0	0
tetracycline__tetR	0	0
tetracycline__tetS	0	0
tetracycline__tetT	0	0
tetracycline__tetU	0	0
tetracycline__tetV	0	0
tetracycline__tetW	0	0.00694754949449785
tetracycline__tetX	0	0
tetracycline__tetY	0	0
tetracycline__tetZ	0	0
tetracycline__tetracycline_resistance_protein	0	0.00694754949449785
trimethoprim__dfrA1	0	0
trimethoprim__dfrA10	0	0
trimethoprim__dfrA12	0	0
trimethoprim__dfrA13	0	0
trimethoprim__dfrA14	0	0
trimethoprim__dfrA15	0	0
trimethoprim__dfrA16	0	0
trimethoprim__dfrA17	0	0
trimethoprim__dfrA19	0	0
trimethoprim__dfrA20	0	0
trimethoprim__dfrA21	0	0
trimethoprim__dfrA22	0	0
trimethoprim__dfrA23	0	0
trimethoprim__dfrA24	0	0
trimethoprim__dfrA25	0	0
trimethoprim__dfrA5	0	0
trimethoprim__dfrA7	0	0
trimethoprim__dfrB1	0	0
trimethoprim__dfrB2	0	0
trimethoprim__dfrB3	0	0
trimethoprim__dfrB6	0	0
unclassified__16S rRNA methylase	0	0
unclassified__DNA-binding transcriptional regulator gadX	0	0
unclassified__DNA-binding_protein_H-NS	0	0
unclassified__antibiotic resistance rRNA adenine methyltransferase	0	0
unclassified__bacterial regulatory protein LuxR	0	0
unclassified__cAMP-regulatory protein	0	0
unclassified__cob(I)alamin adenolsyltransferase	0	0
unclassified__cystathionine beta-lyase patB	0	0
unclassified__mycinamicin-resistance protein myrB	0	0
unclassified__rpsD_(ramA_or_sud2)	0	0
unclassified__sdiA	0	0
unclassified__thiostrepton resistance methylase tsnR	0	0
unclassified__tmrB	0	0
unclassified__transcriptional regulatory protein CpxR cpxR	0.0176611288174616	0
unclassified__truncated putative response regulator ArlR	0	0
unclassified__two-component system_response regulator EvgA	0	0
vancomycin__vanA	0	0
vancomycin__vanB	0	0
vancomycin__vanC	0	0
vancomycin__vanD	0	0
vancomycin__vanE	0	0
vancomycin__vanG	0	0
vancomycin__vanH	0	0
vancomycin__vanM	0	0
vancomycin__vanN	0	0
vancomycin__vanR	0	0
vancomycin__vanS	0	0
vancomycin__vanT	0	0
vancomycin__vanU	0	0
vancomycin__vanW	0	0
vancomycin__vanX	0	0
vancomycin__vanY	0	0
vancomycin__vanZ	0	0
